DATE,TIME,OPEN,HIGH,LOW,CLOSE,CHANGE,GAIN,LOSS,AVG+AF8-GAIN,AVG+AF8-LOSS,RS,RSI+AF8-14
20200102,10:20:00,1477.4,1478.775,1476.925,1478.7,1.30,1.30,0.00,0.67,0.28,2.44,70.93
20200102,10:21:00,1478.7,1479.825,1478.4,1478.925,0.22,0.22,0.00,0.64,0.26,2.50,71.45
20200102,10:22:00,1478.925,1480.75,1478.3,1480.5,1.58,1.58,0.00,0.71,0.24,2.98,74.85
20200102,10:23:00,1480.5,1480.775,1479.575,1480.45,+AC0-0.05,0.00,0.05,0.66,0.22,2.93,74.54
20200102,10:24:00,1480.45,1482.85,1480.225,1482.275,1.83,1.83,0.00,0.74,0.21,3.55,78.04
20200102,10:25:00,1482.275,1482.95,1481.325,1481.575,+AC0-0.70,0.00,0.70,0.69,0.24,2.82,73.85
20200102,10:26:00,1481.575,1481.575,1480.775,1480.775,+AC0-0.80,0.00,0.80,0.64,0.28,2.25,69.27
20200102,10:27:00,1480.775,1481.225,1480.275,1481.225,0.45,0.45,0.00,0.63,0.26,2.38,70.39
20200102,10:28:00,1481.225,1481.9,1480.375,1481.75,0.53,0.53,0.00,0.62,0.24,2.53,71.67
20200102,10:29:00,1481.75,1483.25,1481.7,1482.85,1.10,1.10,0.00,0.65,0.23,2.88,74.20
20200102,10:30:00,1482.85,1484.225,1482.6,1483.525,0.68,0.68,0.00,0.65,0.21,3.11,75.64
20200102,10:31:00,1483.525,1483.725,1483.2,1483.2,+AC0-0.33,0.00,0.33,0.61,0.22,2.78,73.52
20200102,10:32:00,1483.2,1483.85,1482.775,1483.25,0.05,0.05,0.00,0.57,0.20,2.79,73.64
20200102,10:33:00,1483.25,1486.55,1483.25,1486.4,3.15,3.15,0.00,0.75,0.19,3.99,79.94
20200102,10:34:00,1486.4,1487.2,1486.175,1486.575,0.17,0.17,0.00,0.71,0.18,4.06,80.23
20200102,10:35:00,1486.575,1486.575,1483.65,1484.3,+AC0-2.28,0.00,2.28,0.66,0.33,2.03,67.00
20200102,10:36:00,1484.3,1484.625,1483.4,1483.4,+AC0-0.90,0.00,0.90,0.61,0.37,1.67,62.60
20200102,10:37:00,1483.4,1483.85,1483.15,1483.825,0.42,0.42,0.00,0.60,0.34,1.76,63.81
20200102,10:38:00,1483.825,1485.075,1483.7,1485.075,1.25,1.25,0.00,0.65,0.32,2.05,67.17
20200102,10:39:00,1485.075,1488.575,1485.075,1487.975,2.90,2.90,0.00,0.81,0.29,2.75,73.35
20200102,10:40:00,1487.975,1489.25,1487.375,1487.375,+AC0-0.60,0.00,0.60,0.75,0.32,2.38,70.39
20200102,10:41:00,1487.375,1489.375,1487.275,1488.7,1.33,1.33,0.00,0.79,0.29,2.70,72.98
20200102,10:42:00,1488.7,1488.9,1487.25,1487.25,+AC0-1.45,0.00,1.45,0.73,0.38,1.96,66.17
20200102,10:43:00,1487.25,1487.6,1487.15,1487.2,+AC0-0.05,0.00,0.05,0.68,0.35,1.94,65.94
20200102,10:44:00,1487.2,1488.3,1487.2,1487.7,0.50,0.50,0.00,0.67,0.33,2.05,67.16
20200102,10:45:00,1487.7,1488.975,1487.7,1488.175,0.47,0.47,0.00,0.65,0.30,2.16,68.32
20200102,10:46:00,1488.175,1488.6,1487.625,1487.975,+AC0-0.20,0.00,0.20,0.61,0.30,2.05,67.24
20200102,10:47:00,1487.975,1487.975,1487.275,1487.65,+AC0-0.32,0.00,0.32,0.56,0.30,1.89,65.43
20200102,10:48:00,1487.65,1488.275,1487.225,1488.275,0.63,0.63,0.00,0.57,0.28,2.05,67.26
20200102,10:49:00,1488.275,1492.15,1488.275,1491.825,3.55,3.55,0.00,0.78,0.26,3.04,75.25
20200102,10:50:00,1491.825,1492.15,1490.35,1491.3,+AC0-0.53,0.00,0.53,0.73,0.28,2.63,72.43
20200102,10:51:00,1491.3,1492.45,1490.6,1490.6,+AC0-0.70,0.00,0.70,0.67,0.31,2.20,68.74
20200102,10:52:00,1490.6,1490.75,1489.375,1489.65,+AC0-0.95,0.00,0.95,0.63,0.35,1.78,63.97
20200102,10:53:00,1489.65,1491.475,1489.375,1491.35,1.70,1.70,0.00,0.70,0.33,2.15,68.22
20200102,10:54:00,1491.35,1491.35,1490.5,1490.65,+AC0-0.70,0.00,0.70,0.65,0.35,1.84,64.83
20200102,10:55:00,1490.65,1490.75,1490.375,1490.6,+AC0-0.05,0.00,0.05,0.61,0.33,1.82,64.59
20200102,10:56:00,1490.6,1491.925,1490.2,1491.925,1.33,1.33,0.00,0.66,0.31,2.13,68.06
20200102,10:57:00,1491.925,1491.925,1491.25,1491.625,+AC0-0.30,0.00,0.30,0.61,0.31,1.98,66.47
